CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1007-11,A1007-11-023,A1007-0425-00,180418.647,139047.833,121918.702,,,17129.131,4748.268,,4748.268,,,,,,8501.191,,,,,8501.191,,4002.301,2076.147,,,859.027,1067.127,,6108.229,,2199.801,,,1580.172,2115.938,212.318,,15826.996,,,,,15361.862,465.134,,,,,,,,,2183.829,,,,,2183.829,"111Y"
A1007-11,A1007-11-024,A1007-0426-00,89899.252,60237.573,55896.846,,,4340.727,1287.498,,1287.498,,,,,,9814.401,,,,,9814.401,,2777.039,,,,920.118,1856.921,,12921.518,687.304,10309.927,121.527,,1056.464,217.897,382.721,145.678,642.637,,,,504.274,,138.363,298.904,,298.904,,,,,,1919.682,,,,,1919.682,"111Y"
A1007-11,A1007-11-025,A1007-0427-00,759151.587,222015.348,205684.847,,564.141,15766.36,95153.601,,95153.601,,,,,,13529.158,,,,,13529.158,,107004.367,42689.047,66.683,,39905.443,24343.194,,12886.093,2292.286,3082.479,,4401.431,2973.005,,136.892,,1755.206,,,,,,1755.206,,,,,,,,,306807.814,,250642.631,,,56165.183,"111Y"
A1007-11,A1007-11-026,A1007-0428-00,167759.609,42297.035,42297.035,,,,21889.027,,15837.634,6051.393,,,,,13657.36,,,5063.671,,8593.689,,32575.094,17213.349,,,13406.226,1955.519,,143.562,,,,,,,143.562,,,,,,,,,,,,,,,,,57197.531,,53774.704,,,3422.827,"111Y"
A1007-10,A1007-10-029,A1007-0429-00,685625.475,306946.995,306920.012,,,26.983,110943.737,,110832.729,111.008,,,,,26036.316,,,,,26036.316,,60911.121,58421.001,,,2478.738,11.382,,111.577,,,,44.462,67.115,,,,,,,,,,,,,,,,,,,180675.729,,168026.837,,,12648.892,"111Y"
A1008-01,A1008-01-001,A1008-0001-00,305590.613,112163.064,111043.475,,254.974,864.615,29570.739,,29570.739,,,,,,15952.195,,,,,15952.195,,89625.191,67503.415,,1809.672,8734.235,11577.869,,33911.757,245.036,27247.038,3838.978,279.353,591.443,,,1709.909,,,,,,,,,,,,,,,,24367.667,,16556.85,,,7810.817,"111Y"
A1008-01,A1008-01-002,A1008-0002-00,72573.998,17509.958,17509.958,,,,4161.923,,4161.923,,,,,,10347.875,,,,,10347.875,,19537.492,15101.933,,,1408.645,3026.914,,6591.595,,2668.318,180.149,1988.14,1299.609,,,455.379,105.654,,,,,,105.654,2134.614,,2134.614,,,,,,12184.887,,11237.629,,,947.258,"111Y"
A1008-03,A1008-03-001,A1008-0003-00,190495.303,107616.152,107490.328,,,125.824,45635.042,,45635.042,,,,,,8348.177,,,,,8348.177,,8743.956,,,,4869.025,3874.931,,,,,,,,,,,,,,,,,,,,,,,,,,20151.976,,20151.976,,,,"111Y"
A1008-01,A1008-01-003,A1008-0004-00,103682.021,22139.254,22139.254,,,,8084.052,,8084.052,,,,,,3384.657,,,,,3384.657,,30763.158,20780.327,,,3732.073,6250.758,,8174.238,553.741,3295.694,1343.562,76.895,2369.377,213.768,,321.201,,,,,,,,11781.654,,11781.654,,,,,,19355.008,,13499.248,,,5855.76,"111Y"
A1008-01,A1008-01-004,A1008-0005-00,36350.349,10488.425,10070.22,,,418.205,,,,,,,,,1721.741,,,,,1721.741,,3870.499,1148.228,2722.271,,,,,18810.076,1383.093,14100.521,1754.648,154.911,1043.455,23.055,,350.393,372.342,372.342,,,,,,100.759,,100.759,,,,,,986.507,,,,,986.507,"111Y"
